Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BLCA	001944e5-af34-4061-9c09-bb9ea346f6fd	Blood Derived Normal	15	4
TCGA-BLCA	001944e5-af34-4061-9c09-bb9ea346f6fd	Primary Tumor	3	0
TCGA-BLCA	00d8e96f-f231-4475-9e9f-c1f8aec28e4e	Blood Derived Normal	15	2
TCGA-BLCA	00d8e96f-f231-4475-9e9f-c1f8aec28e4e	Primary Tumor	13	4
TCGA-BLCA	0198d8e5-a14b-44ee-b1c4-d248994845ad	Blood Derived Normal	14	6
TCGA-BLCA	0198d8e5-a14b-44ee-b1c4-d248994845ad	Primary Tumor	10	1
TCGA-BLCA	01c815ba-7bda-4f7e-865c-0c5776febf2c	Blood Derived Normal	5	2
TCGA-BLCA	01c815ba-7bda-4f7e-865c-0c5776febf2c	Primary Tumor	6	0
TCGA-BLCA	01ee41ef-1894-4408-9e96-a22a1f068190	Blood Derived Normal	16	0
TCGA-BLCA	01ee41ef-1894-4408-9e96-a22a1f068190	Primary Tumor	49	8
TCGA-BLCA	02964d82-cc94-4286-a66f-03567101950c	Blood Derived Normal	18	4
TCGA-BLCA	02964d82-cc94-4286-a66f-03567101950c	Primary Tumor	7	0
TCGA-BLCA	036b9681-ab58-4734-a8fd-e0d5d078bf5a	Blood Derived Normal	49	21
TCGA-BLCA	036b9681-ab58-4734-a8fd-e0d5d078bf5a	Primary Tumor	24	8
TCGA-BLCA	03f588d6-832e-47d8-a9c4-af6640a1a635	Blood Derived Normal	5	1
TCGA-BLCA	03f588d6-832e-47d8-a9c4-af6640a1a635	Primary Tumor	12	6
TCGA-BLCA	04477379-6c51-45d9-b9b9-d05d53b53945	Blood Derived Normal	9	2
TCGA-BLCA	04477379-6c51-45d9-b9b9-d05d53b53945	Primary Tumor	7	3
TCGA-BLCA	045fe498-6a07-41ff-9956-dc0fb0483e7f	Blood Derived Normal	5	1
TCGA-BLCA	045fe498-6a07-41ff-9956-dc0fb0483e7f	Primary Tumor	12	4
TCGA-BLCA	04b9090a-e8ef-4f52-bc52-af90caa84168	Blood Derived Normal	7	1
TCGA-BLCA	04b9090a-e8ef-4f52-bc52-af90caa84168	Primary Tumor	14	4
TCGA-BLCA	05935f1d-77c2-46ca-b87a-7a84bce38afd	Blood Derived Normal	12	2
TCGA-BLCA	05935f1d-77c2-46ca-b87a-7a84bce38afd	Primary Tumor	5	2
TCGA-BLCA	05a1402e-5a79-4d54-9430-065844ed1505	Blood Derived Normal	10	2
TCGA-BLCA	05a1402e-5a79-4d54-9430-065844ed1505	Primary Tumor	9	1
TCGA-BLCA	0628e443-3d7f-4a38-9d2a-ebc7f4f7e11d	Blood Derived Normal	14	5
TCGA-BLCA	0628e443-3d7f-4a38-9d2a-ebc7f4f7e11d	Primary Tumor	10	4
TCGA-BLCA	0691b8c5-6244-407c-8601-fa1bda01ff2a	Blood Derived Normal	643	199
TCGA-BLCA	0691b8c5-6244-407c-8601-fa1bda01ff2a	Primary Tumor	22	3
TCGA-BLCA	069b6e47-012c-483e-bee4-36a2a21a3486	Blood Derived Normal	6	1
TCGA-BLCA	069b6e47-012c-483e-bee4-36a2a21a3486	Primary Tumor	10	2
TCGA-BLCA	06f936e9-5a90-40d3-b91a-713f2b4e6e11	Blood Derived Normal	11	3
TCGA-BLCA	06f936e9-5a90-40d3-b91a-713f2b4e6e11	Primary Tumor	81	23
TCGA-BLCA	070c66fa-ef48-46cb-af4f-357d2c641118	Blood Derived Normal	9	1
TCGA-BLCA	070c66fa-ef48-46cb-af4f-357d2c641118	Primary Tumor	15	2
TCGA-BLCA	071b350d-8745-4795-8194-a8c6491f0931	Blood Derived Normal	3	0
TCGA-BLCA	071b350d-8745-4795-8194-a8c6491f0931	Primary Tumor	2	1
TCGA-BLCA	087a7f70-2fa8-4a16-b130-4df10a70c662	Blood Derived Normal	10	3
TCGA-BLCA	087a7f70-2fa8-4a16-b130-4df10a70c662	Primary Tumor	2	0
TCGA-BLCA	08d13748-0946-49a1-8eb3-5afd1deebc84	Blood Derived Normal	7	0
TCGA-BLCA	08d13748-0946-49a1-8eb3-5afd1deebc84	Primary Tumor	5	0
TCGA-BLCA	096b4f32-10c1-4737-a0dd-cae04c54ee33	Primary Tumor	5	0
TCGA-BLCA	096b4f32-10c1-4737-a0dd-cae04c54ee33	Solid Tissue Normal	4	1
TCGA-BLCA	0c890030-9bdb-4247-a3d5-a004f992f99c	Blood Derived Normal	8	2
TCGA-BLCA	0c890030-9bdb-4247-a3d5-a004f992f99c	Primary Tumor	6	1
TCGA-BLCA	0d2cd56c-09c6-467d-b3aa-1f7fe0cc60e1	Blood Derived Normal	12	4
TCGA-BLCA	0d2cd56c-09c6-467d-b3aa-1f7fe0cc60e1	Primary Tumor	12	2
