Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	00a2d166-78c9-4687-a195-3d6315c27574	Blood Derived Normal	72	7
TCGA-BRCA	00a2d166-78c9-4687-a195-3d6315c27574	Primary Tumor	122	24
TCGA-BRCA	01263518-5f7c-49dc-8d7e-84b0c03a6a63	Blood Derived Normal	350	19
TCGA-BRCA	01263518-5f7c-49dc-8d7e-84b0c03a6a63	Primary Tumor	655	73
TCGA-BRCA	02bf5203-f9cd-4c5a-97b4-e5584dc22325	Blood Derived Normal	373	62
TCGA-BRCA	02f5ae33-a563-4ecb-9e33-dfa500a44931	Blood Derived Normal	421	18
TCGA-BRCA	02f5ae33-a563-4ecb-9e33-dfa500a44931	Primary Tumor	628	60
TCGA-BRCA	03565036-b6d3-432f-8d9a-7099818e0788	Blood Derived Normal	276	14
TCGA-BRCA	03565036-b6d3-432f-8d9a-7099818e0788	Primary Tumor	341	34
TCGA-BRCA	045c13ef-3db7-4adf-b0a3-23338f0479f3	Blood Derived Normal	232	19
TCGA-BRCA	045c13ef-3db7-4adf-b0a3-23338f0479f3	Primary Tumor	251	14
TCGA-BRCA	0491063c-14a7-4104-8002-1459126332f3	Blood Derived Normal	439	31
TCGA-BRCA	0491063c-14a7-4104-8002-1459126332f3	Primary Tumor	781	84
TCGA-BRCA	05506f4c-e701-4a9d-ae06-97f066aade43	Blood Derived Normal	97	12
TCGA-BRCA	0807435a-e75e-4e04-8e45-ed0cd49a841a	Blood Derived Normal	221	12
TCGA-BRCA	0807435a-e75e-4e04-8e45-ed0cd49a841a	Primary Tumor	646	78
TCGA-BRCA	084c6aec-94f7-4090-8f3f-59fa9e89721a	Blood Derived Normal	267	31
TCGA-BRCA	084c6aec-94f7-4090-8f3f-59fa9e89721a	Primary Tumor	493	46
TCGA-BRCA	08da7c4c-3067-4bcf-9d7a-78566df72e69	Blood Derived Normal	646	100
TCGA-BRCA	08da7c4c-3067-4bcf-9d7a-78566df72e69	Primary Tumor	213	11
TCGA-BRCA	08de63a2-7b76-43c3-80dc-df748b1d81bc	Blood Derived Normal	24	3
TCGA-BRCA	09765b0a-94f6-47d2-af56-93368084ac3a	Blood Derived Normal	355	24
TCGA-BRCA	09765b0a-94f6-47d2-af56-93368084ac3a	Primary Tumor	521	54
TCGA-BRCA	09c2bc35-c21f-4aa4-ac30-0d8db02ad811	Blood Derived Normal	518	36
TCGA-BRCA	09c2bc35-c21f-4aa4-ac30-0d8db02ad811	Primary Tumor	546	55
TCGA-BRCA	0a017f15-1c6b-45e7-8d55-e0a71df1b2e8	Blood Derived Normal	350	24
TCGA-BRCA	0a017f15-1c6b-45e7-8d55-e0a71df1b2e8	Primary Tumor	415	38
TCGA-BRCA	0a229f95-0ea1-4d63-953e-74f5ec2f3028	Blood Derived Normal	203	8
TCGA-BRCA	0a229f95-0ea1-4d63-953e-74f5ec2f3028	Primary Tumor	414	59
TCGA-BRCA	0adf59c6-581a-475d-a2f4-40aa40060b5b	Blood Derived Normal	219	18
TCGA-BRCA	0adf59c6-581a-475d-a2f4-40aa40060b5b	Primary Tumor	700	86
TCGA-BRCA	0c1023c0-d2ce-4940-8047-7642f1dc3965	Blood Derived Normal	500	63
TCGA-BRCA	0c1023c0-d2ce-4940-8047-7642f1dc3965	Primary Tumor	390	27
TCGA-BRCA	0f64edec-0f1f-4025-8a53-75f9534f7828	Blood Derived Normal	408	28
TCGA-BRCA	0f64edec-0f1f-4025-8a53-75f9534f7828	Primary Tumor	268	13
TCGA-BRCA	0f64edec-0f1f-4025-8a53-75f9534f7828	Solid Tissue Normal	409	34
TCGA-BRCA	10c9be1e-2cc0-45e4-8d2c-c013ea63ef05	Blood Derived Normal	117	19
TCGA-BRCA	10c9be1e-2cc0-45e4-8d2c-c013ea63ef05	Primary Tumor	208	40
TCGA-BRCA	1111fb30-46ce-4722-98da-ec9ba2323d90	Blood Derived Normal	414	32
TCGA-BRCA	1111fb30-46ce-4722-98da-ec9ba2323d90	Primary Tumor	458	55
TCGA-BRCA	1174f6e4-ffbe-4e59-a000-8d861c968369	Blood Derived Normal	251	20
